School,W,L,S,Kills,Errors,Total Attacks,Pct,Assists,Digs,Aces,Block Solos,Block Assists,TB,Opp Kills,Opp Errors,Opp Attacks,Opp Pct
Presbyterian,8,23,120,1383,624,4446,0.171,1267,1922,166,49,230,164,1645,652,4472,0.222
Southern U.,8,21,108,1076,646,3465,0.124,981,1479,126,41,375,228.5,1326,639,3728,0.184
St. Francis Brooklyn,8,21,100,1142,577,3234,0.175,1068,1295,131,28,324,190,1259,481,3241,0.24
The Citadel,8,26,128,1483,754,4518,0.161,1289,1846,173,30,387,223.5,1619,622,4411,0.226
UC Santa Barbara,8,20,103,1307,581,3715,0.195,1231,1623,143,47,348,221,1379,494,3744,0.236
UNLV,8,23,121,1306,672,4141,0.153,1204,1596,136,61,446,284,1632,696,4233,0.221
USC Upstate,8,21,109,1259,585,4172,0.162,1153,1772,99,45,250,170,1571,595,4215,0.232
Western Ill.,8,20,106,1158,519,3777,0.169,1083,1706,117,46,364,228,1475,588,4026,0.22
Youngstown St.,8,22,106,1227,582,3910,0.165,1139,1552,147,43,322,204,1440,547,3801,0.235
Boston College,7,23,111,1326,629,3874,0.18,1256,1545,134,44,336,212,1461,556,3864,0.234
Brown,7,18,94,1100,553,3422,0.16,1025,1376,138,33,332,199,1156,489,3242,0.206
Clemson,7,25,107,1171,705,3432,0.136,1090,1204,118,51,307,204.5,1353,528,3310,0.249
Eastern Wash.,7,18,96,1175,639,3677,0.146,1115,1580,101,45,190,140,1192,425,3427,0.224
Gardner-Webb,7,22,111,1211,688,3822,0.137,1152,1578,117,58,352,234,1333,614,3817,0.188
Louisiana Tech,7,21,105,1216,581,3703,0.171,1132,1527,99,41,306,194,1419,577,3752,0.224
Middle Tenn.,7,23,104,1127,606,3076,0.169,1055,1039,171,36,238,155,1209,397,2801,0.29
Oklahoma,7,22,107,1323,679,3685,0.175,1255,1504,88,35,315,192.5,1453,506,3705,0.256
Siena,7,22,101,1023,572,3149,0.143,943,1241,165,20,230,135,1239,475,3165,0.241
Southern Utah,7,21,110,1218,568,3836,0.169,1152,1527,103,30,428,244,1552,637,4001,0.229
Tennessee St.,7,23,112,1268,644,3892,0.16,1188,1722,120,46,250,171,1473,544,4043,0.23
Virginia,7,24,113,1401,676,3955,0.183,1324,1559,115,43,319,202.5,1506,493,3793,0.267
Akron,6,22,103,1233,573,3579,0.184,1140,1314,148,60,260,190,1356,503,3566,0.239
FIU,6,16,80,952,409,2823,0.192,883,1194,104,30,284,172,1091,440,2984,0.218
George Mason,6,21,94,1064,581,3294,0.147,987,1323,90,17,246,140,1271,411,3238,0.266
Hartford,6,20,92,981,525,2979,0.153,900,1128,137,52,292,198,1192,508,3059,0.224
Southern Ill.,6,23,109,1305,572,3929,0.187,1221,1780,107,45,309,199.5,1514,505,4026,0.251
UTEP,6,22,105,1174,612,3529,0.159,1084,1300,126,37,298,186,1360,523,3470,0.241
Cal St. Fullerton,5,24,104,1083,577,3595,0.141,1005,1587,117,46,252,172,1423,527,3778,0.237
Delaware,5,21,96,1022,559,3200,0.145,974,1252,85,19,263,150.5,1210,452,3107,0.244
Fairleigh Dickinson,5,24,98,1010,513,3646,0.136,930,1700,110,38,276,176,1473,568,3982,0.227
Holy Cross,5,24,102,1159,595,3782,0.149,1064,1711,139,32,247,155.5,1347,535,3847,0.211
Kent St.,5,22,94,1113,578,3681,0.145,1060,1759,82,45,212,151,1293,497,3792,0.21
La.-Monroe,5,28,114,1211,646,3878,0.146,1111,1616,143,39,304,191,1474,550,3895,0.237
